task,target,select,time,totaltime,totalerror
1,11,11,1.764458,1.764458,0
2,20,24,1.354706
2,20,20,1.573242,2.927948,1
3,5,5,1.680908,1.680908,0
4,6,11,3.165146
4,6,6,2.141586,5.306732,1
5,9,9,1.749222,1.749222,0
6,17,17,1.366837,1.366837,0
7,12,12,2.148666,2.148666,0
8,15,15,1.410904,1.410904,0
9,14,14,1.393982,1.393982,0
10,10,10,1.64035,1.64035,0
11,18,23,1.531525
11,18,18,1.93335,3.464874,1
12,22,22,2.023193,2.023193,0
13,16,16,2.07399,2.07399,0
14,7,7,1.662552,1.662552,0
15,19,19,2.190964,2.190964,0
16,2,2,1.673737,1.673737,0
17,13,13,1.824356,1.824356,0
18,3,3,1.450073,1.450073,0
19,1,1,3.130844,3.130844,0
20,25,25,1.568237,1.568237,0
21,4,4,1.509781,1.509781,0
22,21,21,1.619888,1.619888,0
23,24,24,1.464508,1.464508,0
24,8,8,2.681641,2.681641,0
25,23,23,1.63681,1.63681,0
